code,logical_bit,noise_type,noise_prob,syndrome,decoded_result,logical_error,fidelity,trial
Shor,1,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,3.006593016851724e-18,5
Shor,1,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,3.006593016851724e-18,6
Shor,1,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,3.006593016851724e-18,7
Shor,1,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,3.006593016851724e-18,8
Shor,1,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,3.006593016851724e-18,9
Steane,1,phase_flip,0.9,"[0, 0, 0]",No error,True,0.0,0
Steane,1,phase_flip,0.9,"[0, 0, 0]",No error,True,0.0,1
Steane,1,phase_flip,0.9,"[0, 0, 0]",No error,True,0.0,2
Steane,1,phase_flip,0.9,"[0, 0, 0]",No error,True,0.0,3
Steane,1,phase_flip,0.9,"[0, 0, 0]",No error,True,0.0,4
Steane,1,phase_flip,0.9,"[0, 0, 0]",No error,True,0.0,5
Steane,1,phase_flip,0.9,"[0, 0, 0]",No error,True,0.0,6
Steane,1,phase_flip,0.9,"[0, 0, 0]",No error,True,0.0,7
Steane,1,phase_flip,0.9,"[0, 0, 0]",No error,True,0.0,8
Steane,1,phase_flip,0.9,"[0, 0, 0]",No error,True,0.0,9
Surface,1,phase_flip,0.9,"[0, 0]",No error,True,0.0,0
Surface,1,phase_flip,0.9,"[0, 0]",No error,True,0.0,1
Surface,1,phase_flip,0.9,"[0, 0]",No error,True,0.0,2
Surface,1,phase_flip,0.9,"[0, 0]",No error,True,0.0,3
Surface,1,phase_flip,0.9,"[0, 0]",No error,True,0.0,4
Surface,1,phase_flip,0.9,"[0, 0]",No error,True,0.0,5
Surface,1,phase_flip,0.9,"[0, 0]",No error,True,0.0,6
Surface,1,phase_flip,0.9,"[0, 0]",No error,True,0.0,7
Surface,1,phase_flip,0.9,"[0, 0]",No error,True,0.0,8
Surface,1,phase_flip,0.9,"[0, 0]",No error,True,0.0,9
Shor,0,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.002197000077269468,0
Shor,0,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.002197000077269468,1
Shor,0,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.002197000077269468,2
Shor,0,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.002197000077269468,3
Shor,0,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.002197000077269468,4
Shor,0,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.002197000077269468,5
Shor,0,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.002197000077269468,6
Shor,0,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.002197000077269468,7
Shor,0,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.002197000077269468,8
Shor,0,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.002197000077269468,9
Steane,0,depolarizing,0.9,"[0, 0, 0]",No error,True,0.014816000000003519,0
Steane,0,depolarizing,0.9,"[0, 0, 0]",No error,True,0.014816000000003519,1
Steane,0,depolarizing,0.9,"[0, 0, 0]",No error,True,0.014816000000003519,2
Steane,0,depolarizing,0.9,"[0, 0, 0]",No error,True,0.014816000000003519,3
Steane,0,depolarizing,0.9,"[0, 0, 0]",No error,True,0.014816000000003519,4
Steane,0,depolarizing,0.9,"[0, 0, 0]",No error,True,0.014816000000003519,5
Steane,0,depolarizing,0.9,"[0, 0, 0]",No error,True,0.014816000000003519,6
Steane,0,depolarizing,0.9,"[0, 0, 0]",No error,True,0.014816000000003519,7
Steane,0,depolarizing,0.9,"[0, 0, 0]",No error,True,0.014816000000003519,8
Steane,0,depolarizing,0.9,"[0, 0, 0]",No error,True,0.014816000000003519,9
Surface,0,depolarizing,0.9,"[0, 0]",No error,True,0.010240000000002546,0
Surface,0,depolarizing,0.9,"[0, 0]",No error,True,0.010240000000002546,1
Surface,0,depolarizing,0.9,"[0, 0]",No error,True,0.010240000000002546,2
Surface,0,depolarizing,0.9,"[0, 0]",No error,True,0.010240000000002546,3
Surface,0,depolarizing,0.9,"[0, 0]",No error,True,0.010240000000002546,4
Surface,0,depolarizing,0.9,"[0, 0]",No error,True,0.010240000000002546,5
Surface,0,depolarizing,0.9,"[0, 0]",No error,True,0.010240000000002546,6
Surface,0,depolarizing,0.9,"[0, 0]",No error,True,0.010240000000002546,7
Surface,0,depolarizing,0.9,"[0, 0]",No error,True,0.010240000000002546,8
